start_station_name,member_casual,number_of_rides
Commercial Ave & 130th St,casual,163
Commercial Ave & 130th St,member,29
Commercial Ave & 83rd St,casual,150
Commercial Ave & 83rd St,member,78
Commercial Ave & 89th St,casual,5
Commercial Ave & 89th St,member,11
Conservatory Dr & Lake St,casual,540
Conservatory Dr & Lake St,member,414
Constance Ave & 95th St,casual,101
Constance Ave & 95th St,member,49
Corliss Ave & 103rd St,member,2
Corliss Ave & 133rd St,casual,2
Cornell Ave & Hyde Park Blvd,casual,3189
Cornell Ave & Hyde Park Blvd,member,5395
Cornell Dr & Hayes Dr,casual,60
Cornell Dr & Hayes Dr,member,31
Cottage Grove & 84th St,casual,1
Cottage Grove & 84th St,member,2
Cottage Grove & 85th St,casual,4
Cottage Grove & 85th St,member,3
Cottage Grove & 86th St,casual,18
Cottage Grove & 86th St,member,8
Cottage Grove Ave & 111th Pl,casual,106
Cottage Grove Ave & 111th Pl,member,115
Cottage Grove Ave & 111th St,casual,17
Cottage Grove Ave & 111th St,member,19
Cottage Grove Ave & 43rd St,casual,510
Cottage Grove Ave & 43rd St,member,928
Cottage Grove Ave & 47th St,casual,663
Cottage Grove Ave & 47th St,member,1094
Cottage Grove Ave & 51st St,casual,796
Cottage Grove Ave & 51st St,member,1055
Cottage Grove Ave & 63rd St,casual,595
Cottage Grove Ave & 63rd St,member,879
Cottage Grove Ave & 67th St,casual,248
Cottage Grove Ave & 67th St,member,191
Cottage Grove Ave & 71st St,casual,212
Cottage Grove Ave & 71st St,member,80
Cottage Grove Ave & 75th St,casual,4
Cottage Grove Ave & 75th St,member,7
Cottage Grove Ave & 78th St,casual,108
Cottage Grove Ave & 78th St,member,91
Cottage Grove Ave & 83rd St,casual,205
Cottage Grove Ave & 83rd St,member,212
Cottage Grove Ave & 87th St,casual,3
Cottage Grove Ave & 87th St,member,15
Cottage Grove Ave & 89th Pl,casual,4
Cottage Grove Ave & 91st St,casual,4
Cottage Grove Ave & 92nd St,casual,1
Cottage Grove Ave & 92nd St,member,1
Cottage Grove Ave & 98th St,casual,6
Cottage Grove Ave & 98th St,member,12
Cottage Grove Ave & Oakwood Blvd,casual,759
Cottage Grove Ave & Oakwood Blvd,member,423
DIVVY CASSETTE REPAIR MOBILE STATION,member,3
Daley Center Plaza,casual,5296
Daley Center Plaza,member,11024
Damen Ave & 33rd St,casual,58
Damen Ave & 33rd St,member,17
Damen Ave & 47th St,casual,15
Damen Ave & 47th St,member,8
